"score","handicap","sex","age"
1.9,5,1,24
2.5,5,0,18
3,5,0,20
3.6,5,0,21
4.1,5,0,18
4.2,5,0,21
4.9,5,0,22
5.1,5,0,22
5.4,5,0,19
5.9,5,0,21
6.1,5,0,18
6.7,5,0,20
7.4,5,0,19
7.8,5,0,19
1.9,1,0,23
2.5,1,0,18
2.6,1,0,19
3.2,1,0,21
3.6,1,0,20
3.8,1,0,20
4,1,0,20
4.6,1,0,20
5.3,1,0,23
5.5,1,1,22
5.8,1,0,19
5.9,1,0,23
6.1,1,0,22
7.2,1,1,23
3.7,2,0,18
4,2,1,20
4.3,2,0,22
4.3,2,0,18
5.1,2,1,19
5.8,2,0,24
6,2,0,19
6.2,2,0,18
6.3,2,0,22
6.4,2,0,18
7.4,2,1,20
7.4,2,0,24
7.5,2,0,19
8.5,2,0,24
1.4,3,0,19
2.1,3,1,19
2.4,3,0,20
2.9,3,0,20
3.4,3,0,19
3.7,3,0,22
3.9,3,1,21
4.2,3,0,22
4.3,3,1,22
4.7,3,1,21
5.5,3,0,22
5.8,3,0,18
5.9,3,0,21
6.5,3,0,21
1.7,4,0,22
2.8,4,0,19
3.5,4,0,22
4.7,4,1,21
4.8,4,0,18
5,4,1,20
5.3,4,1,22
6.1,4,0,23
6.1,4,1,21
6.2,4,0,22
6.4,4,0,19
7.2,4,0,22
7.4,4,0,23
7.6,4,0,22
